m,b,第6弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」 参加店舗一覧2022年2月17日(木) ～ 4月13日(水)
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
ｎａｍｃｏ大阪日本橋店,大阪府大阪市浪速区難波中2-1-17コスモビル1〜3階
セガ難波アビオン,大阪府大阪市浪速区難波中２−３−１５ＭＭＯビルＢ１〜３Ｆ
タイトーステーション 大阪日本橋店,大阪府大阪市浪速区日本橋４−９−１４
アミパラ大東店,大阪府大東市南新田２丁目３番５号
セガ東大阪,大阪府東大阪市稲田新町3-9-64
ラウンドワン東大阪店,大阪府東大阪市若江南町１−２−１２
エンジョイパラダイス,大阪府東大阪市長栄寺７−３パーラーメトロ永和店２Ｆ
セガワールド布施,大阪府東大阪市長堂1-1-1ロンモール布施内
プラサカプコン藤井寺,大阪府藤井寺市岡２丁目１０番１１号イオン藤井寺ＳＣ２Ｆ
ゲームフェイス八尾店,大阪府八尾市天王寺屋2-68
セガ新三国アルゴ７,大阪府豊中市神州町1-15
ラウンドワン豊中店,大阪府豊中市名神口１−１−１
ラウンドワン枚方店,大阪府枚方市高野道１−２０−２０
セガワールド枚方,大阪府枚方市須山町83-1サンシャインプラザ枚方内
セガニトリモール枚方,大阪府枚方市北山1-2-1
SOYUGameFieldみのおキューズモール店,大阪府箕面市西宿１−１５−３０みのおキューズモールＣ棟２階
ラウンドワンららぽーと和泉店,大阪府和泉市あゆみ野４−４−７　４階　４２１００番
セガワールド和泉,大阪府和泉市肥子町2-4-41
ラウンドワン伊丹店,兵庫県伊丹市昆陽７丁目２９
ｎａｍｃｏニッケパークタウン加古川店,兵庫県加古川市加古川町寺家町173-1
ラウンドワン加古川店,兵庫県加古川市尾上町安田325番6号
アミパラ加古川店,兵庫県加古川市尾上町今福７１−２
社スポーツレーン,兵庫県加東市社1189-1
アミューズスペースミール,兵庫県三田市対中町5-21
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山１４００−１８
遊スペース アローズ,兵庫県神戸市西区丸塚２丁目９−１８
遊スペース マジカル,兵庫県神戸市中央区琴ノ緒町５−２−３
タイトーＦステーション三宮 西館店,兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館
ラウンドワン三宮駅前店,兵庫県神戸市中央区小野柄通6-1-17
セガ神戸ｕｍｉｅサウスモール,兵庫県神戸市中央区東川崎町1-7-2ダイヤニッセイビル4F
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1フェニックスプラザ1F
ｎａｍｃｏイオンモール神戸南店,兵庫県神戸市兵庫区中之島２−１−１ イオンモール神戸南３Ｆ
楽市楽座イオンモール神戸北店,兵庫県神戸市北区上津台８−１−１
セガコロワ甲子園,兵庫県西宮市甲子園高潮町3−3Crowa甲子園3F
プレイステーションネーブル西宮店,兵庫県西宮市両度町6-10
西友川西ゲームパーク,兵庫県川西市栄町１６−８
アミューズアイランド和田山,兵庫県朝来市和田山町枚田岡774番地イオン和田山店1F
セガあまがさきキューズモール,兵庫県尼崎市潮江1-3-1あまがさきキューズモール内4F
ラウンドワンＪＲ尼崎駅前店,兵庫県尼崎市潮江１−４−５プラストいきいき館４階
セガつかしん,兵庫県尼崎市塚口本町4-8-1つかしん内
クラブセガ姫路ＯＳ,兵庫県姫路市駅前町254姫路OSビルB1F
タイトーＦステーション姫路,兵庫県姫路市駅前町２６９・２７０番地
遊楽舎　姫路花田店,兵庫県姫路市花田町上原田２−１ビッグエムワン2F
ラウンドワン姫路飾磨店,兵庫県姫路市飾磨区中島１−２５４
Ｇ−ｐａｌａ花北店,兵庫県姫路市増位新町１−６　２Ｆ
アピナ姫路店,兵庫県姫路市東郷町１４５４−３姫路リオス２階
ジョイプラザ豊岡店,兵庫県豊岡市加広町７−３２コープデイズ豊岡内
ｎａｍｃｏ豊岡店,兵庫県豊岡市中陰字大工６１７３階
セガ明石,兵庫県明石市魚住町清水2464-1
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149
SOYUGameField奈良橿原店,奈良県橿原市曲川町7-20-1　イオンモール橿原3F
アミパラ橿原店,奈良県橿原市十市町1222-1ツインゲート橿原１F
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７イオンモール専門店街３階
楽市楽座　イオンモール大和郡山店,奈良県大和郡山市下三橋町741-333イオンモール大和郡山店
アミューズメントＣＵＥ奈良大和高田店,奈良県大和高田市東中２−１１−１６
アミューズメントＣＵＥ奈良三条店,奈良県奈良市三条町478-1
ラウンドワン奈良・ミナーラ店,奈良県奈良市二条大路南１−３−１ミ・ナーラ５階
キッズサーカス奈良柏木店,奈良県奈良市柏木町４５６−１
ラウンドワン和歌山店,和歌山県和歌山市小雑賀７３９−３
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３イオンモール和歌山２Ｆ
セガ鳥取,鳥取県鳥取市安長416
アミパラがいな店,鳥取県米子市日ノ出町１−８−１３
セガワールド米子,鳥取県米子市両三柳2778-2
ｙｏｕｍｅ　ＣＩＲＣＵＳ出雲店,島根県出雲市大塚町６５０−１ゆめタウン出雲店　東館３Ｆ
ジーパラ出雲,島根県出雲市渡橋町７８４−１
セガ松江,島根県松江市嫁島町12-15
アミパラ松江店,島根県松江市東朝日町２０３−１
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎599-12
ラウンドワン岡山妹尾店,岡山県岡山市南区妹尾３４１３−１
セガイオンモール岡山,岡山県岡山市北区下石井1-2-1ｲｵﾝﾓｰﾙ岡山6F　
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
アミパラテクノランド店,岡山県岡山市北区大和町１−７−１２
ファンタジスタ,岡山県倉敷市新倉敷駅前５−１９４
セガ倉敷,岡山県倉敷市西中新田535-2
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル1F
アミパラ津山店,岡山県津山市河辺１０００−１イオンモール津山２Ｆ
セガ海田,広島県安芸郡海田町南大正町3-35
namcoイオンモール広島府中,広島県安芸郡府中町大須2-1-1イオンモール広島府中3階
シネパーク広,広島県呉市広中町１−９
セガワールドＭＥＧＡ,広島県広島市安佐南区中筋4-11-7
プラサカプコン広島店,広島県広島市佐伯区石内東４丁目１−１ジアウトレット広島
アミパラ広島店,広島県広島市西区西観音町3-17
セガＬＥＣＴ広島,広島県広島市西区扇町2-1-45LECT2F
フタバ図書アルティランド,広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ
タイトーステーション 広島紙屋町店,広島県広島市中区紙屋町２−２−２１
ビバーチャ,広島県広島市中区南竹屋町１０−１７
タイトーステーション 広島本通店,広島県広島市中区本通３−５せらかぐ本通ビル
セガ広島本通,広島県広島市中区本通９−３０ランドマークビル１Ｆ
ラウンドワン広島店,広島県広島市中区立町３−１１
セガワールド宇品,広島県広島市南区宇品西3-4フタバ図書GIGA宇品店内
楽市楽座広島店,広島県広島市南区段原南１−３−５２広島段原ＳＣ７階７００１
アミパラここじゃ店,広島県東広島市西条町下見６−１０−１９
スペースV1廿日市店,広島県廿日市市本町４−２３
セガ尾道,広島県尾道市新浜1-2-13
あみぱらんど福山店,広島県福山市三吉町南２−８−２４
アミパラ神辺店,広島県福山市神辺町大字新道上字１−２−１
セガワールド福山,広島県福山市瀬戸町大字山北300
ラウンドワン福山店,広島県福山市明神町１−９−２８
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０
フレスパランドカッタの湯,山口県宇部市海南町1675
アレックス,山口県宇部市西宇部南３−５−５３
アミパラ下関店,山口県下関市長府才川１−４２−４８
アミュージアム周南店,山口県下松市中央町21-3THEMALL周南3F
ギガゾーン岩国,山口県岩国市室の木町１−５−５
セガ小郡,山口県山口市小郡前田町3-6ロックタウン
タイトーＦステーション山口メルクス店,山口県山口市大字黒川８２−１ハイパーモールメルクス内
THE 3RD PLANET 山口店,山口県山口市湯田温泉6-8-3
アミパラ周南久米店,山口県周南市大字久米２８３４　イオンタウン周南久米
ＳＰＥＥＤ,山口県周南市大字久米３２１９
ネオブラボー,山口県防府市高倉１−３−３０
ソユーファミリーゲームフィールド防府店,山口県防府市鐘紡町７−１イオンタウン防府1F
アポロゲームセンター沖洲店,徳島県徳島市南沖洲１−９３
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮２−２−４６
セガ徳島スエヒロボウル,徳島県徳島市南末広町4-95-2
ラウンドワン徳島・万代店,徳島県徳島市万代町４−１９−１
アミパラ丸亀店,香川県丸亀市飯野町西分字川縁甲５８４−１　ハローズ棟内
セガ丸亀,香川県丸亀市蓬莱町56-1
ＳＯＹＵＧａｍｅＦｉｅｌｄ高松,香川県高松市香西本町１−１イオン高松ＳＣ２Ｆ
ラウンドワン高松店,香川県高松市松島町２−７−４３
セガ高松,香川県高松市勅使町535
アミュージアム高松店,香川県高松市伏石町2144-9
アミューズメントパークＭＧ土庄,香川県小豆郡土庄町字半の池甲１３６０−１０
マックスプラザ善通寺,香川県善通寺市中村町１７９８−２
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０ＡＭ棟１階
楽市楽座イオンモール今治店,愛媛県今治市にぎわい広場1-1
バンバン衣山店,愛媛県松山市衣山１−２４８−１
宮西スタジアム２,愛媛県松山市宮西二丁目４の４１
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町４　キスケボックス内１階
セガ松山,愛媛県松山市枝松5-7-32
アミパラ松山店,愛媛県松山市生石町６５５−１
アミューズメントパークＭＧ大街道,愛媛県松山市大街道１−４−１７
アミューズメントパークＭＧ朝生田,愛媛県松山市朝生田町４−４−３２　第一自動車教習所ビル１階
ラウンドワン松山店,愛媛県松山市東長戸１−３−１０
プレイドーム松山,愛媛県松山市余戸南４丁目９−４０
プラサカプコン新居浜店,愛媛県新居浜市前田町８−８イオンモール新居浜２Ｆ
ハイテクセガ新居浜,愛媛県新居浜市徳常町6-8
アミューズメントパークＭＧ西条,愛媛県西条市新田字北新田２３５フジグラン西条 別棟
えの木,高知県高知市旭町3丁目100-3
プラサカプコン高知,高知県高知市秦南町１−４−８イオンモール高知３Ｆ
セガワールドフジグラン,高知県高知市朝倉東町52-15 フジグラン高知3F
ラウンドワン高知店,高知県高知市南宝永町４−１２
ウェアハウス四万十店,高知県四万十市右山五月町８−１３アピアさつき２F
アミューズメントパークＭＧ須崎,高知県須崎市神田２５００−１マルナカ須崎店内 別棟
アミパラ高知店,高知県南国市篠原１９４−１
遊道楽新合川店,福岡県久留米市新合川1丁目6-7
楽市街道くるめ店,福岡県久留米市新合川2-7-10久留米アミューズメントビル内
ユーズボウル久留米,福岡県久留米市東櫛原町字深町１１１０
楽市楽座行橋店,福岡県行橋市西泉６−１−１
楽市楽座くりえいと宗像,福岡県宗像市くりえいと１−４−４
フタバ図書ＧＩＧＡ春日店,福岡県春日市昇町8-1-1
楽市楽座イオン小郡店,福岡県小郡市大保字弓場１１０
サンゲームス新宮店,福岡県糟屋郡新宮町美咲3-1-40新宮ドーム1F
最後の５ドル,福岡県糟屋郡粕屋町大字仲原2706仲原ファミリープラザ2F
,太宰府Jボウル
,福岡県太宰府市都府楼南5-6-12
パスカランド大川店,福岡県大川市上巻４３０−１ゆめタウン２F
大牟田Ｊ−ＧＡＭＥ,福岡県大牟田市旭町３−３−７
楽市楽座イオンモール大牟田店,福岡県大牟田市岬町３−４
ラウンドワン大野城店,福岡県大野城市御笠川１−１８−１６
楽市楽座イオンモール筑紫野店,福岡県筑紫野市立明寺４３４−１イオンモール筑紫野店３階
セガアリーナ中間,福岡県中間市上蓮花寺3-1-1
プラサカプコン直方店,福岡県直方市湯野原２−１−１イオンモール直方２Ｆ
Ｇ−ＳＴＡＧＥ飯塚店,福岡県飯塚市枝国６８０−２
ジャンボパンチ希林,福岡県飯塚市秋松947
Ｇ−ＳＴＡＧＥ七隈店,福岡県福岡市城南区七隈８−４−８
パスカランド福重店,福岡県福岡市西区拾六町１丁目７番１号ＭＥＧＡドンキ福重店３Ｆ
楽市楽座イオンモール福岡伊都店,福岡県福岡市西区北原1-3-1イオンモール福岡伊都SC別館
ラウンドワン福岡天神店,福岡県福岡市中央区天神２−６−１２
タイトーステーション 福岡天神店,福岡県福岡市中央区天神２−６−３５サザンクロスビル
セガ福岡天神,福岡県福岡市中央区天神２−７−６ＤＡＤＡビル
パスカランド博多,福岡県福岡市東区東浜1-1-1
楽市街道箱崎店,福岡県福岡市東区箱崎５丁目１番８号
ジーパラ博多,福岡県福岡市博多区東光寺町２丁目６番４０号ｺﾏｰｼｬﾙﾓｰﾙ博多２階
遊遊パークフォレオ博多店,福岡県福岡市博多区東那珂１−１４−４６フォレオ博多２F
ｎａｍｃｏ博多バスターミナル店,福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階
タイトーFステーションヨドバシ博多店,福岡県福岡市博多区博多駅中央街6-12ヨドバシカメラ4Ｆ
ラウンドワン博多半道橋店,福岡県福岡市博多区半道橋２−２−８
楽市楽座イオンモール福津店,福岡県福津市日蒔野６−１６−１　イオンモール福津店３Ｆ
Ｇ−ｐａｌａ小倉,福岡県北九州市小倉南区上葛原1−14−1
ハイパーメッセ,福岡県北九州市小倉南区北方4-6-7
ペップ魚町,福岡県北九州市小倉北区魚町２−４−２０
楽市楽座砂津店,福岡県北九州市小倉北区砂津3-1-1チャチャタウン小倉B棟3F
ラウンドワン小倉店,福岡県北九州市小倉北区西港町15-65
Ｇ−ＳＴＡＧＥ小倉,福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階
楽市楽座黒崎店,福岡県北九州市八幡西区桜ヶ丘町１−３フレスポ黒崎２階
パスカランド黒崎店,福岡県北九州市八幡西区西曲里町３−１
ソニックワールド伊万里店,佐賀県伊万里市二里町八谷搦１８９−３
遊道楽嘉瀬店,佐賀県佐賀市嘉瀬町中原２４８８−１
ｎａｍｃｏモラージュ佐賀店,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ
ラウンドワン佐賀店,佐賀県佐賀市兵庫北４−２−１
パスカランド鳥栖,佐賀県鳥栖市本鳥栖町５３７−１フレスポ鳥栖店２階
ＦＡＳボウリングセンター,佐賀県唐津市栄町２５８１−１ＦＡＳボウリングセンター
セガ武雄,佐賀県武雄市武雄町富岡12517-1
アミパラ佐世保店,長崎県佐世保市大塔町１８−１５
サンゲームス佐世保店,長崎県佐世保市田原町38-1
遊道楽時津店,長崎県西彼杵郡時津町元村郷８６３−１０
Ｇ−ｐａｌａ時津,長崎県西彼杵郡時津町野田郷５９号
ソニックワールド大村店,長崎県大村市古賀島町３８３−１
セガワールドサンスパおおむら,長崎県大村市森園町663-3
G-stage浜町,長崎県長崎市浜町2-26
セガみらい長崎ココウォーク,長崎県長崎市茂里町1-55みらい長崎ココウォーク5F
ハイテクセガもみの木村,長崎県諫早市小川町90-1
楽市楽座　諫早店,長崎県諫早市長野町１０８６−１７
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代２６１７−２
ラウンドワン熊本店,熊本県熊本市西区春日7-25-15
セガアミュプラザくまもと,熊本県熊本市西区春日三丁目１５番２６号６Ｆ　６１８区画
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
ｎａｍｃｏワンダーシティ南熊本店,熊本県熊本市中央区九品寺６−９−１
ＴＨＥ３ＲＤＰＬＡＮＥＴ下通り店,熊本県熊本市中央区手取本町４番１２号
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
パスカランドはません,熊本県熊本市南区田井島1-2-1ゆめタウンはません3F
パスカワールドグリーンランド店,熊本県荒尾市本井手１５７４−５４
リッチモンド,熊本県八代市旭中央通２０−３
ゲームラボサイドセブン,大分県大分市上宗方1-649-1
プラサカプコン大分店,大分県大分市公園通り西２−１パークプレイス大分２Ｆ
タイトーＦステーションセントポルタ大分店,大分県大分市中央町２−１−１
ラウンドワン大分店,大分県大分市萩原２−１３−１７
トライセン萩原,大分県大分市萩原４−２２７−７
セガワールド高城,大分県大分市牧1-161-8
セガワールド中津,大分県中津市沖代町1-2-16
トライセン中津店,大分県中津市下池永６７−３
Ｇ−ｐａｌａ日田,大分県日田市友田997-1
ハイテクランドセガハーバープレイス,大分県別府市餅ヶ浜町161-2
セガ延岡,宮崎県延岡市平原町5-1492-8
楽市楽座イオンモール宮崎店,宮崎県宮崎市新別府町江口８６２−１イオンモール宮崎店２Ｆ
ラウンドワン宮崎店,宮崎県宮崎市中村東３−４−６０
セガアミュプラザみやざき,宮崎県宮崎市老松２丁目２番２２号アミュプラザみやざき　うみ館
楽市楽座イオンモール都城駅前店,宮崎県都城市栄町４６７２−５ｲｵﾝﾓｰﾙ都城駅前店2階
楽市楽座イオンタウン姶良店,鹿児島県姶良市東餅田336
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
ラウンドワン鹿児島宇宿店,鹿児島県鹿児島市宇宿2-2-2
マンガ倉庫鹿児島店,鹿児島県鹿児島市小松原1-6-7
サンゲームス天文館店,鹿児島県鹿児島市千日町5-6
タイトーアミュプラザ鹿児島店,鹿児島県鹿児島市中央町１−１アミュプラザ鹿児島５Ｆ
タイトーＦステーションニシムタ出水店,鹿児島県出水市六月田町３４７番地
ｎａｍｃｏイオン具志川店,沖縄県うるま市字前原幸崎原３０３イオン具志川ＳＣ内２Ｆ
マンガ倉庫浦添店,沖縄県浦添市城間2689
ラウンドワン沖縄・宜野湾店,沖縄県宜野湾市真志喜３−２８−８
ナムコランドイオンタウン読谷ＳＣ店,沖縄県中頭郡読谷村古堅７４０イオンタウン読谷ＳＣ内
クラブセガ北谷,沖縄県中頭郡北谷町美浜9-8
楽市楽座イオンモール沖縄ライカム店,沖縄県中頭郡北中城村字沖縄ﾗｲｶﾑ1ｲｵﾝﾓｰﾙ沖縄ﾗｲｶﾑ4階
ラウンドワン沖縄・南風原店,沖縄県島尻郡南風原町字兼城５５２番地
