m,b,第4弾「CHUNITHM オリジナルグッズプレゼントキャンペーン」参加店舗一覧2020年6月25日(木) ～9月2日(水)
ソユーゲームフィールド旭川駅前,北海道旭川市宮下通7-2-5イオンモール旭川駅前4F
ハイテクランドセガ西中島,大阪府大阪市淀川区西中島3-16-8深井センタービル1・2F
namco大阪日本橋,大阪府大阪市浪速区難波中2-1-17コスモビル1~3階
セガ難波アビオン,大阪府大阪市浪速区難波中2-3-15MMOビルB1~3F
namcoなんばパークス,大阪府大阪市浪速区難波中2丁目10番70号なんばパークス6階
タイトーステーション 大阪日本橋,大阪府大阪市浪速区日本橋4-9-14
アミパラ大東,大阪府大東市南新田2丁目3番5号
セガ東大阪,大阪府東大阪市稲田新町3-9-64
ラウンドワン東大阪,大阪府東大阪市若江南町1-2-12
あうとばぁん,大阪府東大阪市小若江3-6-15
エンジョイパラダイス,大阪府東大阪市長栄寺7-3パーラーメトロ永和店2F
セガワールド布施,大阪府東大阪市長堂1-1-1ロンモール布施内
プラサカプコン藤井寺,大阪府藤井寺市岡2丁目10番11号イオン藤井寺SC2F
クラブセガ藤井寺,大阪府藤井寺市沢田1-20-8
タイトーステーション アリオ八尾,大阪府八尾市光町2-3 イトーヨーカドーアリオ八尾3F
ゲームフェイス八尾,大阪府八尾市天王寺屋2-68
セガ新三国アルゴ7,大阪府豊中市神州町1-15
ラウンドワン豊中,大阪府豊中市名神口1-1-1
ラウンドワン枚方,大阪府枚方市高野道1-20-20
セガワールド枚方,大阪府枚方市須山町83-1サンシャインプラザ枚方内
セガニトリモール枚方,大阪府枚方市北山1-2-1
ソユーゲームフィールドみのおキューズモール,大阪府箕面市西宿一丁目15番30号　みのおキューズモール CENTER棟2階
ラウンドワンららぽーと和泉,大阪府和泉市あゆみ野4-4-7 4階 42100番
セガワールド和泉,大阪府和泉市肥子町2-4-41
ラウンドワン伊丹,兵庫県伊丹市昆陽7丁目29
namcoニッケパークタウン加古川,兵庫県加古川市加古川町寺家町173-1
ラウンドワン加古川,兵庫県加古川市尾上町安田325番6号
遊スペース スプラ,兵庫県加古川市尾上町安田351-1
アミパラ加古川,兵庫県加古川市尾上町今福71-2
社スポーツレーン,兵庫県加東市社1189-1
アミパラ垂水,兵庫県神戸市垂水区名谷町字室山1400-18
遊スペース アローズ,兵庫県神戸市西区丸塚2丁目9-18
トップラン,兵庫県神戸市西区岩岡町古郷1474-1
遊スペース マジカル,兵庫県神戸市中央区琴ノ緒町5-2-3
三宮サンクス,兵庫県神戸市中央区琴ノ緒町5-4-5高架下404~407
タイトーFステーション三宮 西館,兵庫県神戸市中央区三宮町2丁目11-1センタープラザ西館
ラウンドワン三宮駅前,兵庫県神戸市中央区小野柄通6-1-17
セガ神戸umieモザイク,兵庫県神戸市中央区東川崎1-6-1神戸モザイク3F
セガ神戸umieサウスモール,兵庫県神戸市中央区東川崎町1-7-2ダイヤニッセイビル4F
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1フェニックスプラザ1F
ラウンドワン新開地,兵庫県神戸市兵庫区新開地2-3-4
namcoイオンモール神戸南,兵庫県神戸市兵庫区中之島2-1-1 イオンモール神戸南3F
セガコロワ甲子園,兵庫県西宮市甲子園高潮町3-3Crowa甲子園3F
プレイステーションネーブル西宮,兵庫県西宮市両度町6-10
ゲームパーク西友川西,兵庫県川西市栄町16-8西友川西店5F
セガあまがさきキューズモール,兵庫県尼崎市潮江1-3-1あまがさきキューズモール内4F
ラウンドワンJR尼崎駅前,兵庫県尼崎市潮江1-4-5プラストいきいき館4階
セガつかしん,兵庫県尼崎市塚口本町4-8-1つかしん内
クラブセガ姫路OS,兵庫県姫路市駅前町254姫路OSビルB1F
タイトーFステーション姫路,兵庫県姫路市駅前町269・270番地
ジーパラ姫路,兵庫県姫路市飾磨区加茂203-1
ラウンドワン姫路飾磨,兵庫県姫路市飾磨区中島1-254
アピナ姫路,兵庫県姫路市東郷町1454-3姫路リオス2階
namco豊岡,兵庫県豊岡市中陰字大工6173階
セガ明石,兵庫県明石市魚住町清水2464-1
ゲームアイビス太子,兵庫県揖保郡太子町太田2149
SOYUGameField奈良橿原,奈良県橿原市曲川町7-20-1 イオンモール橿原3F
アミパラ橿原,奈良県橿原市十市町1222-1ツインゲート橿原1F
AMパークイオンモール奈良登美ヶ丘,奈良県生駒市鹿畑町3027イオンモール専門店街3階
楽市楽座 イオンモール大和郡山,奈良県大和郡山市下三橋町741-333イオンモール大和郡山店
namcoトナリエ大和高田,奈良県大和高田市幸町3-18トナリエ大和高田店3F
アミューズメントCUE奈良大和高田,奈良県大和高田市東中2-11-16
アミューズメントCUE奈良三条,奈良県奈良市三条町478-1
ラウンドワンスタジアム奈良・ミナーラ,奈良県奈良市二条大路南1-3-1ミ・ナーラ5階
キッズサーカス奈良柏木,奈良県奈良市柏木町456-1
紀ノ川ボウル,和歌山県岩出市西国分656-1
ラウンドワン和歌山,和歌山県和歌山市小雑賀739-3
プレイランドサーカス太田,和歌山県和歌山市太田1-5-28
ユーズランド和歌山,和歌山県和歌山市中字楠谷573イオンモール和歌山2F
セガ鳥取,鳥取県鳥取市安長416
アミパラがいな,鳥取県米子市日ノ出町1-8-13
セガワールド米子,鳥取県米子市両三柳2778-2
youme CIRCUS出雲,島根県出雲市大塚町650-1ゆめタウン出雲店 東館3F
ジーパラ出雲,島根県出雲市渡橋町784-1
セガ松江,島根県松江市嫁島町12-15
アミパラ松江,島根県松江市東朝日町203-1
ゲームアイビス岡山,岡山県岡山市中区高屋308-1
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎599-12
ラウンドワン岡山妹尾,岡山県岡山市南区妹尾3413-1
スターダスト,岡山県岡山市北区駅前町1-7
セガイオンモール岡山,岡山県岡山市北区下石井1-2-1イオンモール岡山6F
アミパラ岡山,岡山県岡山市北区青江1丁目13-8
タイトーFステーションマルナカ新倉敷,岡山県倉敷市玉島爪崎981-1
セガ倉敷,岡山県倉敷市西中新田535-2
アミパラ倉敷,岡山県倉敷市西中新田624-1アミパラボウル1F
アミパラ津山,岡山県津山市河辺1000-1イオンモール津山2F
セガ海田,広島県安芸郡海田町南大正町3-35
namcoイオンモール広島府中,広島県安芸郡府中町大須2-1-1イオンモール広島府中3階
シネパーク広,広島県呉市広中町1-9
セガワールド大町,広島県広島市安佐南区大町東3-27-4
セガワールドMEGA,広島県広島市安佐南区中筋4-11-7
プラサカプコン広島,広島県広島市佐伯区石内東4丁目1-1ジアウトレット広島
アミパラ広島,広島県広島市西区西観音町3-17
セガLECT広島,広島県広島市西区扇町2-1-45LECT2F
フタバ図書アルティランド,広島県広島市西区草津南4-7-1 アルパーク北棟2F
タイトーステーション 広島紙屋町,広島県広島市中区紙屋町2-2-21
ビバーチャ,広島県広島市中区南竹屋町10-17
タイトーステーション 広島本通,広島県広島市中区本通3-5せらかぐ本通ビル
セガ広島本通,広島県広島市中区本通9-30ランドマークビル1F
ラウンドワン広島,広島県広島市中区立町3-11
セガワールド宇品,広島県広島市南区宇品西3-4フタバ図書GIGA宇品店内
GIGA ZONE,広島県広島市南区松原町2-22
楽市楽座広島,広島県広島市南区段原南1-3-52広島段原SC7階7001
アミパラここじゃ,広島県東広島市西条町下見6-10-19
namcoゆめタウン廿日市,広島県廿日市市下平良2-2-1ゆめタウン廿日市店3F
スペースV1廿日市,広島県廿日市市本町4-23
セガ尾道,広島県尾道市新浜1-2-13
あみぱらんど福山,広島県福山市三吉町南2-8-24
アミパラ神辺,広島県福山市神辺町大字新道上字1-2-1
セガワールド福山,広島県福山市瀬戸町大字山北300
アミパラキャッスル,広島県福山市東深津町4-16-25福山キャッスルボウル1F
ラウンドワン福山,広島県福山市明神町1-9-28
アミューズメントパークMGジアス,広島県福山市柳津町1-7-60
フレスパランドカッタの湯,山口県宇部市海南町1675
アレックス,山口県宇部市西宇部南3-5-53
ゆめシティ ゆめパーク,山口県下関市伊倉新町3-1-1
アミパラ下関,山口県下関市長府才川1-42-48
ラウンドワン下関,山口県下関市東大和町1-3-15
アミュージアム周南,山口県下松市中央町21-3THEMALL周南3F
ギガゾーン岩国,山口県岩国市室の木町1-5-5
アミューズメントハウスケイズ,山口県岩国市麻里布町2丁目5-17
セガ小郡,山口県山口市小郡前田町3-6ロックタウン
タイトーFステーション山口メルクス,山口県山口市大字黒川82-1ハイパーモールメルクス内
THE 3RD PLANET 山口,山口県山口市湯田温泉6-8-3
アミパラ周南久米,山口県周南市大字久米2834 イオンタウン周南久米
SPEED,山口県周南市大字久米3219
ネオブラボー,山口県防府市高倉1-3-30
ソユーファミリーゲームフィールド防府,山口県防府市鐘紡町7-1イオンタウン防府SC
アポロゲームセンター沖洲,徳島県徳島市南沖洲1-93-1
アミューズメントパフェパレパレ田宮,徳島県徳島市南田宮2-2-46
セガ徳島スエヒロボウル,徳島県徳島市南末広町4-95-2
ラウンドワン徳島・万代,徳島県徳島市万代町4-19-1
アミパラ丸亀,香川県丸亀市飯野町西分字川縁甲584-1 ハローズ棟内
セガ丸亀,香川県丸亀市蓬莱町56-1
SOYUGameField高松,香川県高松市香西本町1-1イオン高松SC2F
ゆめタウン高松ゆめランド,香川県高松市三条町字中所608ー1 ゆめタウン高松店内
ラウンドワン高松,香川県高松市松島町2-7-43
セガ高松,香川県高松市勅使町535
まるゲ,香川県高松市南新町8-12
アミュージアム高松,香川県高松市伏石町2144-9
アミューズメントパークMG土庄,香川県小豆郡土庄町字半の池甲1360-10
ソユーフォレストハンター松前,愛媛県伊予郡松前町筒井850AM棟1階
楽市楽座イオンモール今治,愛媛県今治市にぎわい広場1-1
タイトーFステーション今治,愛媛県今治市東村1丁目甲745-1
namcoフジグラン今治,愛媛県今治市東門町5-13-1フジグラン今治店内2F
アミューズメントパークMG伊予三島,愛媛県四国中央市中之庄町字汐汲道75-1
タイトーステーション 衣山,愛媛県松山市衣山1-188パルティ・フジ衣山内
バンバン衣山,愛媛県松山市衣山1-248-1
グラントシティMGINNキスケ,愛媛県松山市宮田町4 キスケボックス内1階
セガ松山,愛媛県松山市枝松5-7-32
アミパラ松山,愛媛県松山市生石町655-1
アミューズメントパークMG大街道,愛媛県松山市大街道1-4-17
駅前スタジアム3,愛媛県松山市大手町2丁目4-1
アミューズメントパークMG朝生田,愛媛県松山市朝生田町4-4-32第一自動車教習所ビル1F
ラウンドワン松山,愛媛県松山市東長戸1-3-10
プレイドーム松山,愛媛県松山市余戸南4丁目9-40
プラサカプコン新居浜,愛媛県新居浜市前田町8-8イオンモール新居浜2F
ハイテクセガ新居浜,愛媛県新居浜市徳常町6-8
アミューズメントパークMG東予,愛媛県西条市周布715-1フジ東予店 別棟
アミューズメントパークMG西条,愛媛県西条市新田字北新田235フジグラン西条 別棟
えの木,高知県高知市旭町3丁目100-3
プラサカプコン高知,高知県高知市秦南町1-4-8イオンモール高知2F
セガワールドフジグラン,高知県高知市朝倉東町52-15 フジグラン高知3F
ラウンドワン高知,高知県高知市南宝永町4-12
ウェアハウス四万十,高知県四万十市右山五月町8-13アピアさつき2F
アミューズメントパークMG須崎,高知県須崎市神田2500-1マルナカ須崎店内 別棟
アミパラ高知,高知県南国市篠原194-1
楽市街道くるめ,福岡県久留米市新合川2-7-10久留米アミューズメントビル内
ユーズボウル久留米,福岡県久留米市東櫛原町字深町1110
楽市楽座行橋,福岡県行橋市西泉6-1-1
楽市楽座くりえいと宗像,福岡県宗像市くりえいと1-4-4
フタバ図書GIGA春日,福岡県春日市昇町8-1-1
楽市楽座210トリアス,福岡県糟屋郡久山町大字山田990
サンゲームス新宮,福岡県糟屋郡新宮町美咲3-1-40新宮ドーム1F
最後の5ドル,福岡県糟屋郡粕屋町大字仲原2706仲原ファミリープラザ2F
,太宰府Jボウル
,福岡県太宰府市都府楼南5-6-12
パスカランド大川,福岡県大川市上巻430-1ゆめタウン2F
大牟田J-GAME,福岡県大牟田市旭町3-3-7
楽市楽座イオンモール大牟田,福岡県大牟田市岬町3-4
ラウンドワン大野城,福岡県大野城市御笠川1-18-16
楽市楽座イオンモール筑紫野,福岡県筑紫野市立明寺434-1イオンモール筑紫野店3階
セガアリーナ中間,福岡県中間市上蓮花寺3-1-1
プラサカプコン直方,福岡県直方市湯野原2-1-1イオンモール直方2F
ゲームセンターみやま,福岡県田川郡香春町大字香春1003
G-STAGE飯塚,福岡県飯塚市枝国680-2
ジャンボパンチ希林,福岡県飯塚市秋松947
G-STAGE七隈,福岡県福岡市城南区七隈8-4-8
フタバ図書ギガ福大前ソフトピア,福岡県福岡市城南区片江5-51-16
パスカランド福重,福岡県福岡市西区拾六町1丁目7番1号MEGAドンキ福重店3F
楽市楽座イオンモール福岡伊都,福岡県福岡市西区北原1-3-1イオンモール福岡伊都SC別館
ラウンドワン福岡天神,福岡県福岡市中央区天神2-6-12
タイトーステーション 福岡天神,福岡県福岡市中央区天神2-6-35サザンクロスビル
セガ福岡天神,福岡県福岡市中央区天神2-7-6DADAビル
楽市街道箱崎,福岡県福岡市東区箱崎5丁目1番8号
G-COM和白,福岡県福岡市東区和白3-27-69
namco博多バスターミナル,福岡県福岡市博多区博多駅中央街2-1博多バスターミナル7階
タイトーFステーションヨドバシ博多,福岡県福岡市博多区博多駅中央街6-12ヨドバシカメラ4F
ラウンドワン博多半道橋,福岡県福岡市博多区半道橋2-2-8
楽市楽座イオンモール福津,福岡県福津市日蒔野6-16-1 イオンモール福津店3F
G-pala小倉,福岡県北九州市小倉南区上葛原1-14-1
ハイパーメッセ,福岡県北九州市小倉南区北方4-6-7
ペップ魚町,福岡県北九州市小倉北区魚町2-4-20
楽市楽座砂津,福岡県北九州市小倉北区砂津3-1-1チャチャタウン小倉B棟3F
ラウンドワン小倉,福岡県北九州市小倉北区西港町15-65
小倉メトロポリス,福岡県北九州市小倉北区西港町27-5
G-STAGE小倉,福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階
楽市楽座黒崎,福岡県北九州市八幡西区桜ヶ丘町1-3フレスポ黒崎2階
アミューズメントMGM陣原,福岡県北九州市八幡西区陣原1-2-12
パスカランド黒崎,福岡県北九州市八幡西区西曲里町3-1
ソニックワールド伊万里,佐賀県伊万里市二里町八谷搦189-3
遊道楽嘉瀬,佐賀県佐賀市嘉瀬町中原2488-1
namcoモラージュ佐賀,佐賀県佐賀市巨勢町大字牛島730 モラージュ佐賀1F・2F
ラウンドワン佐賀,佐賀県佐賀市兵庫北4-2-1
FASボウリングセンター,佐賀県唐津市栄町2581-1FASボウリングセンター
セガ武雄,佐賀県武雄市武雄町富岡12517-1
三冠王バッティングセンター,長崎県佐世保市相浦町2689-1
アミパラ佐世保,長崎県佐世保市大塔町18-15
サンゲームス佐世保,長崎県佐世保市田原町38-1
G-pala時津,長崎県西彼杵郡時津町野田郷59号
ソニックワールド大村,長崎県大村市古賀島町383-1
セガワールドサンスパおおむら,長崎県大村市森園町663-3
namcoゆめタウン夢彩都,長崎県長崎市元船町10-1夢彩都(ゆめさいと)4F
G-stage浜町,長崎県長崎市浜町2-26
セガみらい長崎ココウォーク,長崎県長崎市茂里町1-55みらい長崎ココウォーク5F
ソニックワールド諫早,長崎県諫早市永昌町17-62
ハイテクセガもみの木村,長崎県諫早市小川町90-1
楽市楽座小川,熊本県宇城市小川町河江1-1
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代2617-2
ラウンドワン熊本,熊本県熊本市西区春日7-25-15
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
namcoワンダーシティ南熊本,熊本県熊本市中央区九品寺6-9-1
アムズ 下通り,熊本県熊本市中央区手取本町4-12
THE３RDPLANET下通り,熊本県熊本市中央区手取本町4番12号
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
パスカランドはません,熊本県熊本市南区田井島1-2-1ゆめタウンはません3F
パスカワールドグリーンランド,熊本県荒尾市本井手1574-54
リッチモンド,熊本県八代市旭中央通20-3
プラサカプコン大分,大分県大分市公園通り西2-1パークプレイス大分2F
ラウンドワン大分,大分県大分市萩原2-13-17
トライセン萩原,大分県大分市萩原4-227-7
フリッパーズクラブ 新館,大分県大分市片島字上川原148-1
セガワールド高城,大分県大分市牧1-161-8
タイトー アミュプラザおおいた,大分県大分市要町1-14アミュプラザおおいた4F
セガワールド中津,大分県中津市沖代町1-2-16
トライセン中津,大分県中津市下池永67-3
ユーズランド三光,大分県中津市三光佐知1032イオンモール三光2F
タイトーFステーションゆめタウン別府,大分県別府市楠町382-7
ハイテクランドセガハーバープレイス,大分県別府市餅ヶ浜町161-2
セガ延岡,宮崎県延岡市平原町5-1492-8
楽市楽座イオンモール宮崎,宮崎県宮崎市新別府町江口862-1イオンモール宮崎店2F
ラウンドワン宮崎,宮崎県宮崎市中村東3-4-60
楽市楽座イオンモール都城駅前,宮崎県都城市栄町4672-5イオンモール都城駅前店2階
マンガ倉庫都城,宮崎県都城市吉尾町840
サンゲームス都城北,宮崎県都城市上川東4-5997-4
楽市楽座イオンタウン姶良,鹿児島県姶良市東餅田336
ゲームセンター サンゲームス鹿屋,鹿児島県肝属郡肝付町富山１００８−５
AmusementcityG-STA,鹿児島県薩摩川内市向田本町49番
サンアミューズ鹿屋,鹿児島県鹿屋市札元2丁目3798-1
ラウンドワン鹿児島宇宿,鹿児島県鹿児島市宇宿2-2-2
マンガ倉庫鹿児島,鹿児島県鹿児島市小松原1-6-7
サンゲームス天文館,鹿児島県鹿児島市千日町5-6
タイトーアミュプラザ鹿児島,鹿児島県鹿児島市中央町1-1アミュプラザ鹿児島5F
ゲームセンター電撃ベイサイド,鹿児島県鹿児島市浜町2-2
THE 3RD PLANET ジャングルパーク鹿児島,鹿児島県鹿児島市与次郎1-11-1フレスポジャングルパーク2F
タイトーFステーションニシムタ出水,鹿児島県出水市六月田町347番地
THE 3RD PLANET 隼人,鹿児島県霧島市隼人町見次427-1
namcoイオン具志川,沖縄県うるま市字前原幸崎原303イオン具志川SC内2F
ラウンドワン沖縄・宜野湾,沖縄県宜野湾市真志喜3-28-8
ナムコランドイオンタウン読谷SC,沖縄県中頭郡読谷村古堅740イオンタウン読谷SC内
クラブセガ北谷,沖縄県中頭郡北谷町美浜9-8
楽市楽座イオンモール沖縄ライカム,沖縄県中頭郡北中城村字沖縄ライカム1イオンモール沖縄ライカム4階
ラウンドワン沖縄・南風原,沖縄県島尻郡南風原町字兼城552番地
namco那覇メインプレイス,沖縄県那覇市おもろまち4-4-9サンエー那覇メインプレイス2F
